what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366179871888
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1366179871893
os,sysinfo,,,"macosx",1366179871896
arch,sysinfo,,,"x86_64",1366179871896
ws,sysinfo,,,"cocoa",1366179871896
locale,sysinfo,,,"en_US",1366179871896
processors,sysinfo,,,"4",1366179871896
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366179871896
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1366179871896
java.specification.name,sysinfo,,,"Java Platform API Specification",1366179871896
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366179871896
java.specification.version,sysinfo,,,"1.6",1366179871896
java.vendor,sysinfo,,,"Apple Inc.",1366179871896
java.version,sysinfo,,,"1.6.0_37",1366179871896
java.vm.info,sysinfo,,,"mixed mode",1366179871896
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366179871896
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366179871896
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366179871896
java.vm.specification.version,sysinfo,,,"1.0",1366179871896
java.vm.vendor,sysinfo,,,"Apple Inc.",1366179871896
java.vm.version,sysinfo,,,"20.12-b01-434",1366179871896
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1366179871909
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1366179872512
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366179872941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366179873566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366179878019
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1366179880928
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1366179880930
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1366179887539
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366179887661
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366179887740
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1366179888451
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1366179888455
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1366179888518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366179890712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366179890914
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1366179909771
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1366179910276
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1366179910475
